source,target,weight
1,0,66149
2,0,4062
3,0,863
4,0,3016
5,0,1837
6,0,1482
7,0,5436
8,0,6708
9,0,71487
10,0,31
11,0,474
12,0,2784
13,0,23908
14,0,2256
15,0,4254
16,0,358
17,0,12134
18,0,2010
19,0,5250
20,0,32016
21,0,890
22,0,1390
23,0,138078
24,0,146312
25,0,14864
0,1,120324
2,1,48698
3,1,2649
4,1,9229
5,1,119472
6,1,41987
7,1,43630
8,1,408321
9,1,95669
10,1,8375
11,1,350970
12,1,800313
13,1,11806
14,1,562147
15,1,27741
16,1,30579
17,1,237782
18,1,32768
19,1,4904
20,1,184604
21,1,205762
22,1,14667
23,1,218507
24,1,699784
25,1,69949
0,2,7057
1,2,30233
3,2,2224
4,2,10258
5,2,402426
6,2,39516
7,2,17260
8,2,15866
9,2,41521
10,2,2695
11,2,11392
12,2,16830
13,2,3351
14,2,52838
15,2,73316
16,2,2972
17,2,108435
18,2,6437
19,2,6697
20,2,32437
21,2,4926
22,2,12240
23,2,14468
24,2,97128
25,2,26290
0,3,1088
1,3,2015
2,3,1700
4,3,299181
5,3,10791
6,3,31395
7,3,428572
8,3,25562
9,3,71568
10,3,251
11,3,90433
12,3,4651
13,3,565
14,3,23161
15,3,3258
16,3,10385
17,3,622684
18,3,102524
19,3,6711
20,3,207695
21,3,15457
22,3,139559
23,3,1258
24,3,1341
25,3,3552
0,4,1100
1,4,6349
2,4,5574
3,4,240761
5,4,42987
6,4,165151
7,4,1994114
8,4,77824
9,4,117651
10,4,416
11,4,121902
12,4,7356
13,4,330
14,4,8004
15,4,16374
16,4,22524
17,4,3630339
18,4,262116
19,4,412
20,4,666158
21,4,20896
22,4,308120
23,4,2338
24,4,2426
25,4,2583
0,5,4487
1,5,103990
2,5,498139
3,5,22531
4,5,70744
6,5,525336
7,5,83235
8,5,31433
9,5,92052
10,5,22793
11,5,209844
12,5,182807
13,5,730
14,5,618541
15,5,499998
16,5,7628
17,5,233522
18,5,22720
19,5,9618
20,5,60605
21,5,51561
22,5,111907
23,5,6073
24,5,169601
25,5,29786
0,6,1527
1,6,33453
2,6,34442
3,6,39392
4,6,154468
5,6,351812
7,6,65241
8,6,336846
9,6,55616
10,6,22375
11,6,3025458
12,6,295317
13,6,2080
14,6,690434
15,6,597620
16,6,6167
17,6,1345166
18,6,28813
19,6,1677
20,6,15420
21,6,46516
22,6,47021
23,6,1701
24,6,6211
25,6,4704
0,7,2848
1,7,21667
2,7,7622
3,7,423672
4,7,1963211
5,7,27213
6,7,56256
8,7,96028
9,7,573871
10,7,501
11,7,107779
12,7,21518
13,7,1163
14,7,11397
15,7,8781
16,7,39001
17,7,3720848
18,7,699751
19,7,3437
20,7,1762585
21,7,46863
22,7,927212
23,7,6254
24,7,6916
25,7,8085
0,8,4613
1,8,284995
2,8,10749
3,8,24077
4,8,37754
5,8,19350
6,8,136797
7,8,66171
9,8,147215
10,8,2128
11,8,177399
12,8,727240
13,8,12348
14,8,44111
15,8,32284
16,8,193046
17,8,1993749
18,8,107572
19,8,6043
20,8,33075
21,8,699519
22,8,33915
23,8,11261
24,8,10402
25,8,7175
0,9,73416
1,9,61263
2,9,25507
3,9,56850
4,9,120123
5,9,41737
6,9,45891
7,9,672196
8,9,182145
10,9,215
11,9,13876
12,9,8066
13,9,15157
14,9,24675
15,9,20435
16,9,11445
17,9,1869135
18,9,79446
19,9,170920
20,9,1119340
21,9,9025
22,9,413857
23,9,166780
24,9,184868
25,9,236031
0,10,61
1,10,3709
2,10,3322
3,10,582
4,10,409
5,10,18378
6,10,14412
7,10,534
8,10,1584
9,10,266
11,10,51329
12,10,7520
13,10,37
14,10,60540
15,10,3358
16,10,337
17,10,3307
18,10,472
19,10,56
20,10,367
21,10,5314
22,10,1142
23,10,124
24,10,3323
25,10,691
0,11,1025
1,11,305228
2,11,15417
3,11,180284
4,11,359631
5,11,135585
6,11,4299903
7,11,321756
8,11,652449
9,11,41458
10,11,41463
12,11,1167841
13,11,1412
14,11,2781998
15,11,103334
16,11,96702
17,11,4779059
18,11,256249
19,11,311
20,11,75377
21,11,1271460
22,11,123818
23,11,1755
24,11,7913
25,11,12623
0,12,5882
1,12,768398
2,12,21580
3,12,7724
4,12,24256
5,12,155745
6,12,321274
7,12,67022
8,12,1012860
9,12,25026
10,12,29281
11,12,1294923
13,12,25792
14,12,539256
15,12,70798
16,12,40149
17,12,758877
18,12,69290
19,12,789
20,12,90719
21,12,563404
22,12,7999
23,12,11496
24,12,43953
25,12,6846
0,13,20819
1,13,7007
2,13,2628
3,13,663
4,13,780
5,13,556
6,13,3624
7,13,2218
8,13,21134
9,13,24415
10,13,11
11,13,1270
12,13,24099
14,13,1126
15,13,3938
16,13,547
17,13,18638
18,13,1033
19,13,14346
20,13,7456
21,13,1143
22,13,1059
23,13,47977
24,13,4645
25,13,5101
0,14,5468
1,14,500750
2,14,85965
3,14,79906
4,14,28580
5,14,841689
6,14,984505
7,14,40607
8,14,89000
9,14,31705
10,14,80114
11,14,3330667
12,14,632324
13,14,1793
15,14,342352
16,14,9830
17,14,283628
18,14,27244
19,14,3992
20,14,45522
21,14,172888
22,14,91915
23,14,6422
24,14,155874
25,14,21020
0,15,4003
1,15,21931
2,15,67217
3,15,4570
4,15,18454
5,15,331958
6,15,772570
7,15,16157
8,15,46940
9,15,28873
10,15,3428
11,15,89712
12,15,51238
13,15,4882
14,15,263751
16,15,2653
17,15,179982
18,15,15999
19,15,3526
20,15,16785
21,15,10183
22,15,12725
23,15,2803
24,15,99151
25,15,3614
0,16,749
1,16,26871
2,16,4315
3,16,22959
4,16,76169
5,16,4941
6,16,11896
7,16,118455
8,16,275029
9,16,28223
10,16,410
11,16,81788
12,16,29454
13,16,430
14,16,5081
15,16,2852
17,16,933612
18,16,370272
19,16,232
20,16,43318
21,16,269749
22,16,27401
23,16,2079
24,16,3735
25,16,2599
0,17,9921
1,17,144751
2,17,64342
3,17,657476
4,17,3800112
5,17,128387
6,17,1079789
7,17,4784463
8,17,2025234
9,17,1780143
10,17,10037
11,17,2987257
12,17,407338
13,17,8113
14,17,147077
15,17,107455
16,17,557236
18,17,1455812
19,17,22745
20,17,1001315
21,17,1524990
22,17,1117967
23,17,20050
24,17,40608
25,17,21895
0,18,1522
1,18,22100
2,18,4055
3,18,87868
4,18,301010
5,18,12495
6,18,22973
7,18,740642
8,18,109895
9,18,76283
10,18,943
11,18,115676
12,18,32520
13,18,599
14,18,12875
15,18,10428
16,18,207663
17,18,1233237
19,18,404
20,18,544621
21,18,149376
22,18,63569
23,18,6223
24,18,7250
25,18,4902
0,19,7155
1,19,4097
2,19,6105
3,19,9063
4,19,769
5,19,6567
6,19,2420
7,19,5339
8,19,11525
9,19,195756
10,19,40
11,19,349
12,19,889
13,19,18859
14,19,7104
15,19,3971
16,19,90
17,19,34858
18,19,799
20,19,10104
21,19,314
22,19,9173
23,19,21843
24,19,8509
25,19,56815
0,20,39146
1,20,149666
2,20,26058
3,20,161180
4,20,653182
5,20,33963
6,20,12387
7,20,1799023
8,20,45259
9,20,1121270
10,20,714
11,20,44060
12,20,86640
13,20,6290
14,20,38866
15,20,21567
16,20,22501
17,20,756893
18,20,562629
19,20,7995
21,20,35737
22,20,459085
23,20,125828
24,20,132989
25,20,88050
0,21,1738
1,21,177189
2,21,6273
3,21,31178
4,21,75483
5,21,45292
6,21,81673
7,21,150588
8,21,951619
9,21,38194
10,21,7218
11,21,1261571
12,21,456851
13,21,1245
14,21,123460
15,21,12816
16,21,322731
17,21,2391614
18,21,312984
19,21,932
20,21,69156
22,21,17653
23,21,3860
24,21,30184
25,21,8298
0,22,1273
1,22,7317
2,22,8637
3,22,121195
4,22,317096
5,22,54274
6,22,37022
7,22,995276
8,22,36189
9,22,351952
10,22,681
11,22,57022
12,22,3560
13,22,734
14,22,48547
15,22,9125
16,22,11524
17,22,887859
18,22,62677
19,22,6293
20,22,470379
21,22,5699
23,22,7066
24,22,10842
25,22,12776
0,23,170152
1,23,142231
2,23,9237
3,23,1138
4,23,5356
5,23,4825
6,23,2652
7,23,13695
8,23,15221
9,23,177747
10,23,111
11,23,1387
12,23,6822
13,23,52370
14,23,3512
15,23,2779
16,23,1558
17,23,29304
18,23,9790
19,23,17423
20,23,123757
21,23,2361
22,23,8229
24,23,138902
25,23,85015
0,24,160567
1,24,424907
2,24,93550
3,24,2625
4,24,4939
5,24,116339
6,24,6306
7,24,16311
8,24,17925
9,24,219665
10,24,2567
11,24,6965
12,24,20095
13,24,5433
14,24,118300
15,24,88627
16,24,3644
17,24,40516
18,24,9599
19,24,8719
20,24,117251
21,24,19345
22,24,10069
23,24,165142
25,24,145669
0,25,25695
1,25,38354
2,25,25334
3,25,3932
4,25,4324
5,25,17136
6,25,5303
7,25,14485
8,25,16525
9,25,296731
10,25,654
11,25,10706
12,25,5019
13,25,8284
14,25,9672
15,25,4305
16,25,1467
17,25,34029
18,25,5976
19,25,65181
20,25,94154
21,25,3685
22,25,16609
23,25,115073
24,25,157661
