cluster,inner_citations,outer_citations,total_citations,inner_pct
0,711800,548049,1259849,56.498834384120634
1,2825306,4350637,7175943,39.37191251379784
2,545215,1038813,1584028,34.41953046284535
3,3032857,2105357,5138214,59.02550964206629
4,8835127,7723805,16558932,53.355657236831455
5,4895488,3669681,8565169,57.15576657039691
6,12930483,7209477,20139960,64.20312155535562
7,11827200,10544479,22371679,52.86684115215492
8,5666184,4822988,10489172,54.019363968862365
9,7727996,5622399,13350395,57.88589775808132
10,20884,181174,202058,10.33564620059587
11,42393393,17034051,59427444,71.33638963169946
12,10201614,5963339,16164953,63.109456612710225
13,175760,216233,391993,44.83753536415191
14,10137104,7893760,18030864,56.22084443651729
15,3357277,2073105,5430382,61.82395639938406
16,1788271,2342619,4130890,43.290211068317
17,32475251,23904513,56379764,57.600899145303266
18,1828191,3769129,5597320,32.66189890876348
19,372329,422513,794842,46.84314618502797
20,5412666,6430978,11843644,45.70101904447652
21,5092710,6579800,11672510,43.62994762908749
22,3578910,3525015,7103925,50.379332552075084
23,915814,1025574,1941388,47.17315652512532
24,4814264,1825075,6639339,72.5111942619589
25,1303886,980294,2284180,57.08332968505109
